epoch,step,train_acc,train_loss,val_acc,val_loss
0,847,,,0.042722221463918686,1.4578940868377686
0,847,0.49819445610046387,3.022698402404785,,
1,1695,,,0.042722221463918686,1.457909107208252
1,1695,0.4975694417953491,2.997501850128174,,
2,2543,,,0.042722221463918686,1.4579122066497803
2,2543,0.49933332204818726,3.0034639835357666,,
3,3391,,,0.042722221463918686,1.4578688144683838
3,3391,0.49937498569488525,3.0028493404388428,,
4,4239,,,0.04694444313645363,1.3005039691925049
4,4239,0.5019027590751648,2.9700565338134766,,
5,5087,,,0.07655555754899979,1.253814935684204
5,5087,0.50855553150177,2.928616762161255,,
6,5935,,,0.06705555319786072,1.281347632408142
6,5935,0.5190416574478149,2.9295167922973633,,
7,6783,,,0.09933333098888397,1.2444093227386475
7,6783,0.52269446849823,2.9008567333221436,,
8,7631,,,0.11038888990879059,1.2393903732299805
8,7631,0.5340971946716309,2.9169607162475586,,
9,8479,,,0.11527777463197708,1.2415562868118286
9,8479,0.5370138883590698,2.8957877159118652,,
10,9327,,,0.13361111283302307,1.2408947944641113
10,9327,0.5506805777549744,2.902613878250122,,
11,10175,,,0.14838889241218567,1.2234516143798828
11,10175,0.554444432258606,2.8984265327453613,,
12,11023,,,0.16883333027362823,1.2224301099777222
12,11023,0.5636666417121887,2.8921854496002197,,
13,11871,,,0.1830555498600006,1.213948369026184
13,11871,0.569944441318512,2.8925626277923584,,
14,12719,,,0.16677777469158173,1.2192142009735107
14,12719,0.5730972290039062,2.8832175731658936,,
15,13567,,,0.20061111450195312,1.205534815788269
15,13567,0.5735555291175842,2.876474142074585,,
16,14415,,,0.24588888883590698,1.192195177078247
16,14415,0.5801110863685608,2.884624481201172,,
17,15263,,,0.20038889348506927,1.1979141235351562
17,15263,0.5845694541931152,2.882816791534424,,
18,16111,,,0.20755556225776672,1.2025718688964844
18,16111,0.5816249847412109,2.8795077800750732,,
19,16959,,,0.21666666865348816,1.1879278421401978
19,16959,0.5878888964653015,2.870861530303955,,
20,17807,,,0.23999999463558197,1.179054856300354
20,17807,0.590458333492279,2.8734889030456543,,
21,18655,,,0.244111105799675,1.172338843345642
21,18655,0.5867639183998108,2.86757230758667,,
22,19503,,,0.18861110508441925,1.190291166305542
22,19503,0.5961527824401855,2.8599026203155518,,
23,20351,,,0.2885555624961853,1.1618573665618896
23,20351,0.5903333425521851,2.866763114929199,,
24,21199,,,0.21427777409553528,1.17425537109375
24,21199,0.5875138640403748,2.875369071960449,,
25,22047,,,0.22288888692855835,1.1636534929275513
25,22047,0.5913611054420471,2.860271453857422,,
26,22895,,,0.17905555665493011,1.160677194595337
26,22895,0.5824305415153503,2.85282301902771,,
27,23743,,,0.2363888919353485,1.1523646116256714
27,23743,0.5789166688919067,2.8558349609375,,
28,24591,,,0.19294443726539612,1.1570208072662354
28,24591,0.5883194208145142,2.8468310832977295,,
29,25439,,,0.312333345413208,1.1471295356750488
29,25439,0.5861111283302307,2.8540546894073486,,
30,26287,,,0.2173333317041397,1.1480848789215088
30,26287,0.5949583053588867,2.851142644882202,,
31,27135,,,0.3015555441379547,1.1439322233200073
31,27135,0.5919583439826965,2.854910135269165,,
32,27983,,,0.3346666693687439,1.1373119354248047
32,27983,0.6065694689750671,2.8401756286621094,,
33,28831,,,0.21711111068725586,1.1451712846755981
33,28831,0.5955277681350708,2.8440685272216797,,
34,29679,,,0.1745000034570694,1.1429897546768188
34,29679,0.5764861106872559,2.8325467109680176,,
35,30527,,,0.22655555605888367,1.1382532119750977
35,30527,0.5853333473205566,2.8520212173461914,,
36,31375,,,0.16599999368190765,1.1335548162460327
36,31375,0.5753194689750671,2.836639881134033,,
37,32223,,,0.19144444167613983,1.1403045654296875
37,32223,0.5604722499847412,2.8419833183288574,,
38,33071,,,0.23305556178092957,1.1249574422836304
38,33071,0.5759860873222351,2.843984365463257,,
39,33919,,,0.19094444811344147,1.1326872110366821
39,33919,0.5835416913032532,2.8308005332946777,,
40,34767,,,0.16966666281223297,1.128669261932373
40,34767,0.5888611078262329,2.844444990158081,,
41,35615,,,0.26366665959358215,1.1198365688323975
41,35615,0.6019166707992554,2.8321726322174072,,
42,36463,,,0.2616666555404663,1.120052456855774
42,36463,0.606333315372467,2.8386058807373047,,
43,37311,,,0.18799999356269836,1.1349749565124512
43,37311,0.5929722189903259,2.832683563232422,,
44,38159,,,0.25733333826065063,1.1206613779067993
44,38159,0.6061805486679077,2.842255115509033,,
45,39007,,,0.22644443809986115,1.1159183979034424
45,39007,0.5987222194671631,2.8286609649658203,,
46,39855,,,0.24061110615730286,1.1071453094482422
46,39855,0.5939444303512573,2.8178493976593018,,
47,40703,,,0.20083333551883698,1.1211178302764893
47,40703,0.5961527824401855,2.836406707763672,,
48,41551,,,0.24972222745418549,1.1111831665039062
48,41551,0.6014444231987,2.8331308364868164,,
49,42399,,,0.2948888838291168,1.1036715507507324
49,42399,0.6168055534362793,2.823181390762329,,
50,43247,,,0.24888889491558075,1.1045204401016235
50,43247,0.6044722199440002,2.8224990367889404,,
51,44095,,,0.17311111092567444,1.1179617643356323
51,44095,0.589763879776001,2.8180012702941895,,
52,44943,,,0.2708333432674408,1.1029826402664185
52,44943,0.6079166531562805,2.82029390335083,,
53,45791,,,0.26294443011283875,1.103481650352478
53,45791,0.6161527633666992,2.825915575027466,,
54,46639,,,0.20988889038562775,1.1081041097640991
54,46639,0.6114166378974915,2.824225664138794,,
55,47487,,,0.28361111879348755,1.1005396842956543
55,47487,0.6178749799728394,2.825336456298828,,
56,48335,,,0.32972222566604614,1.0916531085968018
56,48335,0.6368610858917236,2.8139166831970215,,
57,49183,,,0.24516665935516357,1.1006354093551636
57,49183,0.6153749823570251,2.828341484069824,,
58,50031,,,0.31211110949516296,1.0943851470947266
58,50031,0.621097207069397,2.8268463611602783,,
59,50879,,,0.2950555682182312,1.0944507122039795
59,50879,0.6316111087799072,2.8139567375183105,,
60,51727,,,0.27872222661972046,1.095014214515686
60,51727,0.6304583549499512,2.8209433555603027,,
61,52575,,,0.28672221302986145,1.0953956842422485
61,52575,0.6199861168861389,2.812713384628296,,
62,53423,,,0.2950555682182312,1.0978236198425293
62,53423,0.6214166879653931,2.819580078125,,
63,54271,,,0.24988888204097748,1.101357340812683
63,54271,0.6177361011505127,2.8132033348083496,,
64,55119,,,0.3008333444595337,1.0937141180038452
64,55119,0.6154305338859558,2.811891555786133,,
65,55967,,,0.2538333237171173,1.0877041816711426
65,55967,0.6162083148956299,2.828444480895996,,
66,56815,,,0.2571111023426056,1.0887137651443481
66,56815,0.6009722352027893,2.8173413276672363,,
67,57663,,,0.2835555672645569,1.0820719003677368
67,57663,0.6201111078262329,2.819780111312866,,
68,58511,,,0.2653888761997223,1.0893750190734863
68,58511,0.6289722323417664,2.8163037300109863,,
69,59359,,,0.3169444501399994,1.0858147144317627
69,59359,0.622083306312561,2.8240649700164795,,
70,60207,,,0.26688888669013977,1.0891450643539429
70,60207,0.6201388835906982,2.821298837661743,,
71,61055,,,0.3160000145435333,1.0849313735961914
71,61055,0.6259305477142334,2.816399335861206,,
72,61903,,,0.27166667580604553,1.0845122337341309
72,61903,0.6254583597183228,2.813631534576416,,
73,62751,,,0.3466111123561859,1.0806217193603516
73,62751,0.6336528062820435,2.8045907020568848,,
74,63599,,,0.3464444577693939,1.0754172801971436
74,63599,0.6293749809265137,2.810986042022705,,
75,64447,,,0.30311110615730286,1.0826420783996582
75,64447,0.6370555758476257,2.802546739578247,,
76,65295,,,0.3454444408416748,1.0835357904434204
76,65295,0.6433472037315369,2.80816912651062,,
77,66143,,,0.3109999895095825,1.0857521295547485
77,66143,0.6484583616256714,2.8151378631591797,,
78,66991,,,0.3406111001968384,1.075227975845337
