epoch,step,train_acc,train_loss,val_acc,val_loss
35,6155,0.6360975503921509,2.8242857456207275,,
36,6326,,,0.36280885338783264,1.207358479499817
36,6326,0.6751219630241394,2.842226266860962,,
37,6497,,,0.3107932507991791,1.2211815118789673
37,6497,0.6699187159538269,2.8576507568359375,,
38,6668,,,0.33159947395324707,1.2023589611053467
38,6668,0.6647154688835144,2.912835121154785,,
39,6839,,,0.2860858142375946,1.2298128604888916
39,6839,0.6396747827529907,2.844630718231201,,
40,7010,,,0.2951885461807251,1.2179579734802246
40,7010,0.6439024209976196,2.8578803539276123,,
41,7181,,,0.36150845885276794,1.1947945356369019
41,7181,0.6689431071281433,2.876676321029663,,
42,7352,,,0.2951885461807251,1.2158184051513672
42,7352,0.6390243768692017,2.859621524810791,,
43,7523,,,0.3953185975551605,1.1893008947372437
43,7523,0.6458536386489868,2.817378520965576,,
44,7694,,,0.2860858142375946,1.235975980758667
44,7694,0.6842276453971863,2.8264639377593994,,
45,7865,,,0.36801040172576904,1.2048288583755493
45,7865,0.6692683100700378,2.864434242248535,,
46,8036,,,0.4109232723712921,1.205272912979126
46,8036,0.6991869807243347,2.810012102127075,,
47,8207,,,0.4629388749599457,1.190940499305725
47,8207,0.7235772609710693,2.790536403656006,,
48,8378,,,0.44343301653862,1.179734706878662
48,8378,0.7294309139251709,2.8594565391540527,,
49,8549,,,0.4486345946788788,1.1672130823135376
49,8549,0.7271544933319092,2.8355276584625244,,
50,8720,,,0.3953185975551605,1.2019754648208618
50,8720,0.6874796748161316,2.827479124069214,,
51,8891,,,0.3185955882072449,1.2180241346359253
51,8891,0.6728455424308777,2.8559584617614746,,
52,9062,,,0.33680105209350586,1.216273546218872
52,9062,0.670569121837616,2.8160078525543213,,
53,9233,,,0.4070221185684204,1.18795907497406
53,9233,0.6878048777580261,2.8308675289154053,,
54,9404,,,0.39271780848503113,1.1925783157348633
54,9404,0.6783739924430847,2.8245182037353516,,
55,9575,,,0.36280885338783264,1.2031580209732056
55,9575,0.6819512248039246,2.8461668491363525,,
56,9746,,,0.37321195006370544,1.1952215433120728
56,9746,0.6624390482902527,2.8597543239593506,,
57,9917,,,0.34070220589637756,1.2106311321258545
57,9917,0.7014634013175964,2.8574814796447754,,
58,10088,,,0.34590378403663635,1.208600401878357
58,10088,0.6380487680435181,2.837559461593628,,
59,10259,,,0.39141741394996643,1.1938657760620117
59,10259,0.6868292689323425,2.87300443649292,,
